Id,Price
725,154902.28941372142
15856,236305.73187642818
5480,306959.07882441365
15664,350658.2334057394
14275,140223.26595926168
7633,192832.40119378114
13329,173647.82663991812
5502,231636.04579841747
4220,298355.85712613084
11538,198604.5961479063
15975,289208.88844879303
3310,217601.4958486876
9286,150331.98838699478
11260,187500.26513918515
5214,105593.56667436601
11307,172941.07353077322
13543,377889.70161634183
615,164225.8680271015
3495,195766.28547483648
2321,219708.8605310247
12046,195421.50924497267
16688,146743.69222140478
12694,206484.7090390423
783,149978.49701680028
8968,169048.1736408528
13454,171879.37869103125
12190,233237.25682659814
11160,108005.28416851789
10291,201616.61636323103
891,265592.86928378884
2982,182376.46443460952
3818,258234.73387640566
2449,193652.7227349083
8317,177879.47147399688
4922,188332.8414481852
1257,252855.7158861648
9348,190584.8714782889
4176,172932.8325909156
10704,154807.09414736138
6624,115072.42129208936
5428,185413.1278911796
12749,185889.1643237192
8994,214010.97755256368
11513,133602.80711408638
3047,186523.90703720562
9519,195802.03343692227
12309,199214.00579838583
14081,280939.89764826477
8334,259536.506761324
6343,163432.67060327492
14788,121305.57187762472
15748,496340.975476949
153,240309.28137399277
14149,201339.87021499692
269,182864.80861399224
5452,123072.7615326803
721,173351.91384956604
5079,383687.6883241863
2831,119564.32086926168
10614,120355.61152191323
10131,270405.85669958236
9996,300061.6827983948
3061,197423.65616650257
11733,364279.192086698
3726,284487.86494477466
10929,198409.36737902736
9011,250678.34086776403
16182,310947.497103041
4976,177256.17095765093
9897,239741.41482814768
1872,179534.21097316185
9205,342243.1264468223
5403,416681.3770509332
14074,180279.0447412893
6268,153476.80522829157
14232,165699.79149604266
8532,231206.98126991736
7034,287692.0890789761
6553,531102.8651063272
3133,169038.18483710245
8596,200808.0882630861
12389,236472.32673764697
14462,178986.87891833816
8860,330319.0168220275
8377,279604.68743603036
6367,314286.9642151003
6917,242888.2900763979
4216,188396.08813394787
5806,166713.49906435405
5438,178112.52716961858
6632,203220.0727859439
2650,161888.11411052573
5396,190805.5099371107
4044,154305.32869812334
1345,217108.2267824565
856,187926.3516107772
12791,258059.62885655602
12499,212282.72500507694
12249,129036.77238838078
14641,156045.76104672794
1919,157217.2760775946
7848,195381.3901485861
10749,165164.0322598253
15554,202307.90724470877
15834,177034.10093277236
1355,172317.12848426765
15451,190462.6616658343
12401,189891.7137849387
10290,168216.31476262017
9462,133514.1223325121
3103,244632.30289890378
